,Title,Summary,Raw_news,Date,Link
0,"Turbulent Tuesday: Sensex gives up gains after rallying over 1,400 points, Nifty below 7,000","(Photo: Reuters)Indian equity market indices on Tuesday surged in the pre-opening session as BSE Sensex rallied by 1,450 points while Nifty also surged over 300 points.However, both benchmarks quickly failed to hold gains as the domestic stock market continues to remain volatile.BSE Sensex jumped over 1,450 points at the opening bell while NSE Nifty crossed the 8,000 point mark.Likewise, the Nifty IT Index was up almost five per cent while Nifty Pharma went up by almost 4 per cent.The pressure on the companies could reflect on the stock market, say analysts and add that the volatility may continue until the situation normalises.","Market conditions remain volatile despite improvement in Asian stock markets as uncertainty continues over the possible economic impact of Covid-19 pandemic in India. (Photo: Reuters)Indian equity market indices on Tuesday surged in the pre-opening session as BSE Sensex rallied by 1,450 points while Nifty also surged over 300 points. However, both benchmarks quickly failed to hold gains as the domestic stock market continues to remain volatile.BSE Sensex jumped over 1,450 points at the opening bell while NSE Nifty crossed the 8,000 point mark. But soon after trading started, both benchmarks gave up most of the gains.At around 9:35 am, Sensex was trading 225 points or 0.87 per cent higher at 26,206.45 while Nifty was by 51 points or 0.68 per cent at 7,661.70. And just 20 minutes later, Sensex had already entered negative territory.Market conditions remain volatile despite improvement in Asian stock markets as uncertainty continues over the possible economic impact of Covid-19 pandemic in India.IT stocks were leading the early rally with companies such as Infosys, Tech Mahindra, HCL Tech gaining more than 6 per cent. Hindustan Unilever (HUL) also gained during morning trade.Likewise, the Nifty IT Index was up almost five per cent while Nifty Pharma went up by almost 4 per cent. However, Nifty Bank gave up all gains and slipped into negative territory.While most governments and central banks around the world have formally announced major relief packages to tackle Covid-19, the broader industry in India is still awaiting a formal announcement from the government regarding a financial package to help them.Indian businesses, especially smaller ones, are expected to go through a period of extreme stress as the lockdown to prevent the virus has been extended to 548 districts.The pressure on the companies could reflect on the stock market, say analysts and add that the volatility may continue until the situation normalises.Given the situation, all eyes will be on the government’s economic action task force, which is expected to shortly announce a relief package for the wider industry apart from sector-specific relief measures.ALSO READ | Coronavirus: From Covid-19 to pandemic, some key terms explainedALSO WATCH | India fights coronavirus: Here's all you need to know",2020-03-24 09:54:30+05:30,https://news.google.com/articles/CBMilgFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2J1c2luZXNzL3N0b3J5L3R1cmJ1bGVudC10dWVzZGF5LXNlbnNleC1naXZlcy11cC1nYWlucy1hZnRlci1yYWxseWluZy1vdmVyLTEtNDAwLXBvaW50cy1uaWZ0eS1iZWxvdy03LTAwMC0xNjU4OTYzLTIwMjAtMDMtMjTSAZoBaHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvYnVzaW5lc3Mvc3RvcnkvdHVyYnVsZW50LXR1ZXNkYXktc2Vuc2V4LWdpdmVzLXVwLWdhaW5zLWFmdGVyLXJhbGx5aW5nLW92ZXItMS00MDAtcG9pbnRzLW5pZnR5LWJlbG93LTctMDAwLTE2NTg5NjMtMjAyMC0wMy0yNA?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Reliance Jio offers free internet; Airtel, Voda-Idea promise normal internet for work from home needs","Bharti Airtel is in talks with all the towers, infrastructure providers and service providers to prepare for contingency plans in case the current situation aggravates, Gopal Vittal, CEO, Bharti Airtel, said.Reliance Jio also said that it will provide basic JioFiber broadband connectivity with speeds of up to to 10 Mbps.As people have shifted to work from home in the wake of the ongoing coronavirus crisis, the telecom and internet service providers are reeling under clogged consumption of data.Internet providers have witnessed a 40% jump in traffic on their networks in the last few weeks, The Indian Express reported.“This sudden surge in digital use is already putting pressure on the network infrastructure of the Telecom Service Providers (TSPs).","The telecom companies have said that they are prepared for additional load on their networks even as many people are working from home (Representative image)Mukesh Ambani’s Reliance Jio, Bharti Airtel, and Vodafone Idea have assured users that the internet speed will not cause an issue even as there has been a marked surge in data usage. The telecom companies have said that they are prepared for additional load on their networks even as many people are working from home to prevent the spread of coronavirus. Bharti Airtel is in talks with all the towers, infrastructure providers and service providers to prepare for contingency plans in case the current situation aggravates, Gopal Vittal, CEO, Bharti Airtel, said. Reliance Jio also said that it will provide basic JioFiber broadband connectivity with speeds of up to to 10 Mbps.“Jio will provide Basic JioFiber broadband connectivity (10 Mbps), wherever it is geographically feasible, without any service charges, for this period. Jio will also provide home gateway routers with a minimum refundable deposit,” Reliance Industries Ltd said in a statement. Vodafone Idea had also said that it has been monitoring the traffic pattern, and was confident of “handling the growing demand of voice and data services during the lockdown period”.Meanwhile, as data consumption has gone up, telecom companies have also sought for OTT platforms Netflix and Amazon to reduce the video quality to ensure that the internet speed doesn’t fall. They have reached out to video streaming platforms to rationalise their services. “Reducing the quality to SD from HD can lead to 15-20% reduction in traffic,” telecoms said.As people have shifted to work from home in the wake of the ongoing coronavirus crisis, the telecom and internet service providers are reeling under clogged consumption of data. Internet providers have witnessed a 40% jump in traffic on their networks in the last few weeks, The Indian Express reported. “This sudden surge in digital use is already putting pressure on the network infrastructure of the Telecom Service Providers (TSPs). The TSPs are taking requisite steps to manage this load and facilitate the smooth functioning of the networks during this critical time,” COAI said in a letter to the video streaming platforms.Meanwhile, coronavirus cases are nearing the 500 mark in India and the virus has claimed at least nine lives in the country.",2020-03-24 11:10:18+05:30,https://news.google.com/articles/CAIiEKdsQhfkWakmmC5AVeaiNckqGQgEKhAIACoHCAow55veCjDzvdUBMOW45gU?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Rupee rises against US dollar, a day after hitting record low","The rupee today gained against the US dollar today amid a broad weakening of the greenback after US Federal Reserve announced another round of stimulus measures to cushion the impact of coronavirus on American economy.Other Asian currencies were also higher against the US dollar today.The rupee today rose to 75.93 per US dollar at day's high, as compared to previous close of 76.29.The rupee had hit a record low of 76.32 against the US dollar in the previous session.Paring some early gains, the rupee recently traded at 76.09 per dollar.","The rupee today gained against the US dollar today amid a broad weakening of the greenback after US Federal Reserve announced another round of stimulus measures to cushion the impact of coronavirus on American economy. Other Asian currencies were also higher against the US dollar today. The rupee today rose to 75.93 per US dollar at day's high, as compared to previous close of 76.29. The rupee had hit a record low of 76.32 against the US dollar in the previous session.Paring some early gains, the rupee recently traded at 76.09 per dollar. Indian stocks markets also failed to sustain early gains and the Sensex was up 1% after surging 5% earlier.In global markets, the US dollar slipped after the Fed announced unlimited quantitative easing and programmes to support credit markets, pulling out all stops to supply much needed greenback liquidity.The dollar index lost about 0.8% to 101.67, slipping further from Friday's peak of 102.99, its highest level since January 2017.Year to date, the US dollar has gained about 7% against the rupee, with much of the rupee's fall seen this month as foreign investors dumped emerging market assets.Some analysts expect the volatility in forex markets to continue. There is complete uncertainty with respect to when normalcy would be restored and what kind of damage it would do to the global economy until then, says Abhishek Goenka, Founder & CEO, IFA Global. ""This uncertainty has triggered a flight to safety,"" he added.",2020-03-24 09:06:45+05:30,https://news.google.com/articles/CBMidmh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL3J1cGVlLWRvbGxhci1leGNoYW5nZS1yYXRlLXRvZGF5LWluci1yaXNlcy1zaGFycGx5LWFnYWluc3QtdXNkLTExNTg1MDE5OTkwMTI4Lmh0bWzSAXpodHRwczovL3d3dy5saXZlbWludC5jb20vbmV3cy9pbmRpYS9ydXBlZS1kb2xsYXItZXhjaGFuZ2UtcmF0ZS10b2RheS1pbnItcmlzZXMtc2hhcnBseS1hZ2FpbnN0LXVzZC9hbXAtMTE1ODUwMTk5OTAxMjguaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
3,Infosys gets clean chit from SEC in whistleblower case,"The US Securities and Exchanges Commission (SEC) has given clean chit to Infosys in the whistleblower case.This comes five months after the whistleblower complaint surfaced in late October 2019.Following the report, Infosys' share price tanked close to 16 percent on the BSE and the US stock exchange NYSE, wiping out its market cap by nearly Rs 50,000 crore.India’s second-largest tech major released the detailed report on the outcome of its audit committee investigation on a whistleblower complaint in January, which gave clean chit to Infosys.The investigation was done with the assistance of independent legal counsel Shardul Amarchand Mangaldas & Co and PricewaterhouseCoopers.","The US Securities and Exchanges Commission (SEC) has given clean chit to Infosys in the whistleblower case.In a statement, Infosys said, “The Company received notification from the SEC that the SEC has concluded its investigation and the Company does not anticipate any further action by the SEC on this matter.”“The Company has also responded to all the inquires received from the Indian regulatory authorities and Company will continue to cooperate with the authorities should there be any additional requests for information,” the statement added.This comes five months after the whistleblower complaint surfaced in late October 2019. The whistleblowers accused CEO Salil Parekh and CFO Nilanjan Roy for accounting irregularities to boost growth numbers. Following the report, Infosys' share price tanked close to 16 percent on the BSE and the US stock exchange NYSE, wiping out its market cap by nearly Rs 50,000 crore.India’s second-largest tech major released the detailed report on the outcome of its audit committee investigation on a whistleblower complaint in January, which gave clean chit to Infosys. The investigation was done with the assistance of independent legal counsel Shardul Amarchand Mangaldas & Co and PricewaterhouseCoopers.",,https://news.google.com/articles/CBMieGh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9jb21wYW5pZXMvaW5mb3N5cy1nZXRzLWNsZWFuLWNoaXQtaW4td2hpc3RsZWJsb3dlci1jYXNlLWZyb20tc2VjLTUwNjU1MzEuaHRtbNIBfGh0dHBzOi8vd3d3Lm1vbmV5Y29udHJvbC5jb20vbmV3cy9idXNpbmVzcy9jb21wYW5pZXMvaW5mb3N5cy1nZXRzLWNsZWFuLWNoaXQtaW4td2hpc3RsZWJsb3dlci1jYXNlLWZyb20tc2VjLTUwNjU1MzEuaHRtbC9hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen
4,Gold Prices Rise as U.S. Fed Unleashes Unprecedented Measures,"Gold Prices Rise as U.S. Fed Unleashes Unprecedented MeasuresCommodities 5 hours ago (Mar 23, 2020 10:04PM ET)© Reuters.By Gina Lee Investing.com - Gold prices in Asia rose Tuesday morning, staying firmly above the $1,5000 mark as the U.S. Federal Reserve announced further steps to combat the COVID-19 pandemic.were up 1.7% to $1,594.20 by 9:32 PM ET (1:32 AM GMT) as the Fed announced unprecedented measures to buy unlimited amounts of Treasury bonds and mortgage-backed securities.The measures keep borrowing costs at low levels and gives the yellow metal, which pays no interest, a boost.However, the acid test here is whether this optimism will hold for more than one day.”Gold Prices Rise as U.S. Fed Unleashes Unprecedented Measures","Gold Prices Rise as U.S. Fed Unleashes Unprecedented MeasuresCommodities 5 hours ago (Mar 23, 2020 10:04PM ET)© Reuters. By Gina Lee Investing.com - Gold prices in Asia rose Tuesday morning, staying firmly above the $1,5000 mark as the U.S. Federal Reserve announced further steps to combat the COVID-19 pandemic. were up 1.7% to $1,594.20 by 9:32 PM ET (1:32 AM GMT) as the Fed announced unprecedented measures to buy unlimited amounts of Treasury bonds and mortgage-backed securities. The measures keep borrowing costs at low levels and gives the yellow metal, which pays no interest, a boost. The Fed also pledged to finance households, small businesses and employers as the U.S. Senate failed to pass a stimulus package worth over $1 trillion on Monday afternoon. “The Fed unveiled its biggest cannon seen to date - even bigger than in the great financial crisis,” Tai Wong, BMO head of base and precious metals derivatives trading, told Reuters. “The market reacted instantly with equities and gold soaring behind the Fed’s new ‘Draghi’ approach. However, the acid test here is whether this optimism will hold for more than one day.”Gold Prices Rise as U.S. Fed Unleashes Unprecedented Measures",,https://news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmludmVzdGluZy5jb20vbmV3cy9jb21tb2RpdGllcy1uZXdzL2dvbGQtcHJpY2VzLXJpc2UtYXMtdXMtZmVkLXVubGVhc2hlcy11bnByZWNlZGVudGVkLW1lYXN1cmVzLTIxMTkzNTjSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
5,"Increased Working Capital Demand, Loan Collections Immediate Concerns For Banks","BloombergBloomberg | Quint is a multiplatform, Indian business and financial news company.We combine Bloomberg’s global leadership in business and financial news and data, with Quintillion Media’s deep expertise in the Indian market and digital news delivery, to provide high quality business news, insights and trends for India’s sophisticated audiences.","BloombergBloomberg | Quint is a multiplatform, Indian business and financial news company. We combine Bloomberg’s global leadership in business and financial news and data, with Quintillion Media’s deep expertise in the Indian market and digital news delivery, to provide high quality business news, insights and trends for India’s sophisticated audiences.",,https://news.google.com/articles/CAIiELx8nNTdJ__KJyMHnW360L0qGQgEKhAIACoHCAowqvSQCzD0nKUDMM3htQY?hl=en-IN&gl=IN&ceid=IN%3Aen
6,Reliance Sets Up India's First Dedicated Coronavirus Hospital In Mumbai,"Reliance has set up a dedicated 100 bedded COVID-19 centre at Seven Hills Hospital.Reliance Industries Limited (RIL) on Monday said that it has set up India's first COVID-19 dedicated hospital in Mumbai.""Sir HN Reliance Foundation Hospital in collaboration with the Brihanmumbai Municipal Corporation (BMC), has set up a dedicated 100 bedded COVID-19 centre at Seven Hills Hospital, Mumbai for patients who test positive for COVID-19,"" RIL said in an official statement.""This first-of-its-kind-in-India centre is fully funded by Reliance Foundation and includes a negative pressure room that helps in preventing cross contamination and helps control infection.RIL has deployed the combined strengths of Reliance Foundation, Reliance Retail, Jio, Reliance Life Sciences, Reliance Industries, and all the 6,00,000 members of the Reliance Family to fight against COVID-19.","Reliance has set up a dedicated 100 bedded COVID-19 centre at Seven Hills Hospital.Reliance Industries Limited (RIL) on Monday said that it has set up India's first COVID-19 dedicated hospital in Mumbai.""Sir HN Reliance Foundation Hospital in collaboration with the Brihanmumbai Municipal Corporation (BMC), has set up a dedicated 100 bedded COVID-19 centre at Seven Hills Hospital, Mumbai for patients who test positive for COVID-19,"" RIL said in an official statement.""This first-of-its-kind-in-India centre is fully funded by Reliance Foundation and includes a negative pressure room that helps in preventing cross contamination and helps control infection. All beds are equipped with the required infrastructure, biomedical equipment such as ventilators, pacemakers, dialysis machines, and patient monitoring devices,"" it added.""Sir HN Reliance Foundation Hospital, a world-class healthcare institution in Mumbai, has also offered to set up special medical facilities to quarantine travellers from notified countries and suspected cases identified through contact tracing,"" the statement further said.RIL has also announced initial support of Rs 5 crores to Maharashtra Chief Minister's Relief Fund to combat coronavirus spread. The company is enhancing its production capacities to produce 100,000 face-masks per day and a large number of personal protective equipment for the nation's health workers to equip them further to fight coronavirus.""RIL has today announced initial support of Rs 5 crores to Maharashtra Chief Minister''s Relief Fund. RIL has deployed the combined strengths of Reliance Foundation, Reliance Retail, Jio, Reliance Life Sciences, Reliance Industries, and all the 6,00,000 members of the Reliance Family to fight against COVID-19. RIL is enhancing its production capacities to produce 100,000 face-masks per day and a large number of personal protective equipments for the nation''s health workers to equip them further to fight coronavirus,"" the statement said.Reliance Foundation also promised to provide free meals to people across various cities in partnership with NGOs to offer necessary livelihood relief in the current crisis situation.RIL is also helping authorities and working for effective testing of the virus.""RIL has built a fully-equipped isolation facility in Lodhivali, Maharashtra and handed it over to the district authorities. Reliance Life Sciences is importing additional test kits and consumables for effective testing. Our doctors and researchers are also working overtime to find a cure for this deadly virus,"" the statement read.RIL's Jio is collaborating with Microsoft Teams to support social distancing and its groceries will remain open to provide essential items to people.""Jio is combining its digital capabilities with Microsoft Teams, the unified communication and collaboration hub for teamwork in Office 365, to enable individuals, students, educational and healthcare institutions to continue their professional lives while still practicing social distancing,"" the statement said.""All 736 grocery stores of Reliance Retail across the country will ensure sufficient supply of essentials, including staples, fruits and vegetables, bread, breakfast cereals and other items of daily use so that citizens need not stock up,"" it further said.",,https://news.google.com/articles/CAIiECRznH3nHbevYr5TcSrt3JgqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
7,"Your Amazon and Flipkart deliveries will continue during the lockdown, though there might be delays","E-commerce comes under the essential services umbrella, this means that delivery agents from Amazon, Flipkart, Zomato, Swiggy, Bigbasket, Grofers and others would be able to continue with work.umbrella, this means that delivery agents from Amazon, Flipkart, Zomato, Swiggy, Bigbasket, Grofers and others would be able to continue with work.Amazon and Flipkart have both seen their order numbers increasing as people stay indoors.CoronavirusWith a lockdown in place in 75 districts due to, only essential services will be plying on the roads.Both the companies have offered insurance as well as leave with full pay and benefits if an employee is affected by coronavirus.","E-commerce comes under the essential services umbrella, this means that delivery agents from Amazon, Flipkart, Zomato, Swiggy, Bigbasket, Grofers and others would be able to continue with work.umbrella, this means that delivery agents from Amazon, Flipkart, Zomato, Swiggy, Bigbasket, Grofers and others would be able to continue with work. Amazon and Flipkart have both seen their order numbers increasing as people stay indoors.However, a delay in services is also possible.CoronavirusWith a lockdown in place in 75 districts due to, only essential services will be plying on the roads. And that includes your orders from Amazon.According to an order from the government, e-commerce comes under the essential services umbrella, this means that delivery agents from Amazon, Flipkart, Zomato, Swiggy, Bigbasket, Grofers and others would be able to continue with work.More so, as people are stuck in their homes, the number of online orders are actually going up. Many have also noticed that a number of items are unavailable, while deliveries are taking longer than usual.“We are watching this situation closely with a focus on the safety of our teams and ensuring we can meet customer promises. We are closely following guidance from local authority and international organizations as this situation progresses,” an Amazon spokesperson told Business Insider.Globally, Amazon set up a $25 million fund to help its delivery partners during the time of crisis.However, in the light of the Coronavirus spread, Amazon had earlier said that there might be a delay in services.“As COVID-19 has spread, we've recently seen an increase in people shopping online. In the short term, this is having an impact on how we serve our customers. In particular, you will notice that we are currently out of stock on some popular brands and items, especially in household staples categories. You will also notice that some of our delivery promises are longer than usual. We are working around the clock with our selling partners to ensure availability on all of our products, and bring on additional capacity to deliver all of your orders,” Amazon said in a statement on March 14.Amazon’s rival in India Flipkart too is readying itself in a similar manner. Both the companies have offered insurance as well as leave with full pay and benefits if an employee is affected by coronavirus.""We see demand in some categories increase and our teams are working relentlessly in partnership with our sellers to meet customer demand as people are increasingly following social distancing and are not stepping out of their homes,"" Flipkart said in a statement.Flipkart also said that it is keeping a thorough and regular track of the affected areas through its centralized security team to avoid exposure of its employees in those regions.See Also:",,https://news.google.com/articles/CBMisgFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuaW4vYnVzaW5lc3MvZWNvbW1lcmNlL25ld3MveW91ci1hbWF6b24tYW5kLWZsaXBrYXJ0LWRlbGl2ZXJpZXMtd2lsbC1jb250aW51ZS1kdXJpbmctdGhlLWxvY2tkb3duLXRob3VnaC10aGVyZS1taWdodC1iZS1kZWxheXMvYXJ0aWNsZXNob3cvNzQ3Njk5NzMuY21z0gG2AWh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5pbi9idXNpbmVzcy9lY29tbWVyY2UvbmV3cy95b3VyLWFtYXpvbi1hbmQtZmxpcGthcnQtZGVsaXZlcmllcy13aWxsLWNvbnRpbnVlLWR1cmluZy10aGUtbG9ja2Rvd24tdGhvdWdoLXRoZXJlLW1pZ2h0LWJlLWRlbGF5cy9hbXBfYXJ0aWNsZXNob3cvNzQ3Njk5NzMuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen
8,Netflix is reducing its traffic on ISPs by 25% in India – TechCrunch,"The American giant said that despite lowering the strain it puts on internet service providers, it will “maintain the quality” of its service.“Given the crisis, we’ve developed a way to reduce Netflix’s traffic on telecommunications networks by 25% while also maintaining the quality of our service.The mobile-only plan that Netflix introduced in India last year is its most popular tier in the country, a person familiar with the matter said.A report by Bank of America, obtained by TechCrunch, said this week that internet service providers in India were witnessing a 10% surge in the volume of daily traffic and data consumption.The firm analyzed traffic at internet exchanges and spoke with internet service providers to reach that conclusion, it said in the report.","Netflix said on Tuesday that it is lowering its traffic on network providers by 25% in India for a period of 30 days, following a similar move in Europe in a bid to reduce the congestion on internet pipelines.The American giant said that despite lowering the strain it puts on internet service providers, it will “maintain the quality” of its service. Amazon Prime Video said it has also started to lower the data consumption that streaming takes up on its platform, while local services Disney’s Hotstar, Times Internet’s MX Player and Zee5 say they are working to implement similar measures.“Given the crisis, we’ve developed a way to reduce Netflix’s traffic on telecommunications networks by 25% while also maintaining the quality of our service. So consumers should continue to get the quality that comes with their plan – whether it’s Ultra-High, High or Standard Definition. We believe that this will provide significant relief to congested networks and will be deploying it in India for the next 30 days,” Ken Florance, VP Content Delivery of Netflix, said in a statement.TechCrunch understands that Netflix, which maintains several different streams for a single title, is removing the highest bandwidth streams as part of this move. This won’t affect most Netflix subscribers in India.The mobile-only plan that Netflix introduced in India last year is its most popular tier in the country, a person familiar with the matter said. Both mobile-only plan and the basic plan, the immediate advanced tier above it, offer limit streaming in standard definition.Netflix’s announcement follows a local telecom group’s (Cellular Operators Association of India) appeal to on-demand video streaming services to put less burden on internet pipelines that are facing surge in usage as more people stay and work from home in the wake of coronavirus outbreak.A report by Bank of America, obtained by TechCrunch, said this week that internet service providers in India were witnessing a 10% surge in the volume of daily traffic and data consumption. The firm analyzed traffic at internet exchanges and spoke with internet service providers to reach that conclusion, it said in the report.",2020-03-23 23:31:08,https://news.google.com/articles/CAIiEPaHlZzbCjqO0aceWnYlxkkqFAgEKg0IACoGCAowlIEBMLEXMOc_?hl=en-IN&gl=IN&ceid=IN%3Aen
9,Coronavirus: Italy bans travel in bid to slow virus deaths,"Italy banned domestic travel and shut down a range of industries on Monday in a last-ditch push against the spread of a coronavirus that has killed nearly 5,500 people in a month.The wave of restrictions is designed to ensure Italy gets through a 10-day stretch in which the rate of deaths and infections is supposed to finally drop.""Everyone's effort is needed,"" Prime Minister Giuseppe Conte told reporters.But Conte told Italians it was too early to let down their guard.""If everyone -- and I stress everyone -- respects our bans, we will emerge from this very difficult test first,"" Conte said on Monday.","Italy banned domestic travel and shut down a range of industries on Monday in a last-ditch push against the spread of a coronavirus that has killed nearly 5,500 people in a month.The wave of restrictions is designed to ensure Italy gets through a 10-day stretch in which the rate of deaths and infections is supposed to finally drop.""Everyone's effort is needed,"" Prime Minister Giuseppe Conte told reporters.""The country's social and economic strength is at stake.""Follow latest updates on the COVID-19 pandemic hereItalian health officials reported that the rate of increase in both deaths and declared infections slowed on Sunday -- albeit from a high base.There were 651 fatalities on Sunday compared with Saturday's record 793 deaths while the number of new reported infections fell to 5,560 from 6,557.But Conte told Italians it was too early to let down their guard.""We have not reached the most acute phase of the infection and the numbers will continue to grow,"" he said.""Much depends on the responsible behaviour of each one of us.""Conte's latest order comes after he caused confusion on Saturday by ordering all ""non-essential"" factories and trades to shut until April 3.The government released a long list of industries and professions that would still be allowed -- including translation services and computer repair shops.Auto part makers were allowed to stay open but steel mills were shut. News stands were allowed to stay open but book stores were not.Italians frustrated with the ever-changing regulations began to parody officials on social media who had released video messages threatening to jail joggers and fine people walking their dogs too far from their house.The decrees published on Monday added to an air of confusion in the face of a disease Conte has called Italy's biggest threat since World War II.They include a separate instruction forbidding Italians ""from moving by public or private means of transport outside the municipality in which they are currently located"".There is an exception for people who can prove they must travel ""for work needs of absolute urgency or for health reasons"".The reality is that Conte's team is running out of things to close or ban.Ministers and health experts are all looking at the daily death toll and infection rates to see if their approach has worked.They pleaded with Italians to sacrifice individual liberties for the common good for two weeks.The initial restrictions placed on Lombardy -- the northern region at the centre of the Italian epidemic that includes the financial capital Milan -- expired on Sunday and the national measures are set to end on Wednesday.Conte indicated last week that he might need to extend the restrictions indefinitely.His decision is expected this week.""If everyone -- and I stress everyone -- respects our bans, we will emerge from this very difficult test first,"" Conte said on Monday.",2020-03-23 18:09:59+05:30,https://news.google.com/articles/CBMihAFodHRwczovL3d3dy5kZWNjYW5oZXJhbGQuY29tL2ludGVybmF0aW9uYWwvd29ybGQtbmV3cy1wb2xpdGljcy9jb3JvbmF2aXJ1cy1pdGFseS1iYW5zLXRyYXZlbC1pbi1iaWQtdG8tc2xvdy12aXJ1cy1kZWF0aHMtODE2NzkyLmh0bWzSAYgBaHR0cHM6Ly93d3cuZGVjY2FuaGVyYWxkLmNvbS9hbXAvaW50ZXJuYXRpb25hbC93b3JsZC1uZXdzLXBvbGl0aWNzL2Nvcm9uYXZpcnVzLWl0YWx5LWJhbnMtdHJhdmVsLWluLWJpZC10by1zbG93LXZpcnVzLWRlYXRocy04MTY3OTIuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen
